测试11,#genre#
913,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
868,http://nn.7x9d.cn/地方台8563/海南.php?id=xwpd
803,http://dd.rihou.cc:555/mp4
31,http://120.76.248.139/live/bfgd/4200000635.m3u8
32,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0

34,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd


测试解说轮播,#genre#
1,http://103.193.151.146/huya.php?id=10279885
2,http://103.193.151.146/huya.php?id=11336587
3,http://103.193.151.146/huya.php?id=11336592
4,http://103.193.151.146/huya.php?id=11342394
5,http://103.193.151.146/huya.php?id=11342397
6,http://103.193.151.146/huya.php?id=11352875
7,http://103.193.151.146/huya.php?id=11352879
8,http://103.193.151.146/huya.php?id=11352889
9,http://103.193.151.146/huya.php?id=11352904
10,http://103.193.151.146/huya.php?id=11352922
11,http://103.193.151.146/huya.php?id=11352960
12,http://103.193.151.146/huya.php?id=11352970
13,http://103.193.151.146/huya.php?id=11352975
14,http://103.193.151.146/huya.php?id=11601963
15,http://103.193.151.146/huya.php?id=11601966
16,http://103.193.151.146/huya.php?id=11602065
17,http://103.193.151.146/huya.php?id=15152155
18,http://103.193.151.146/huya.php?id=16755322
19,http://103.193.151.146/huya.php?id=18632116
20,http://103.193.151.146/huya.php?id=19757963
21,http://103.193.151.146/huya.php?id=21059608
22,http://103.193.151.146/huya.php?id=21059621
23,http://103.193.151.146/huya.php?id=23740156
24,http://103.193.151.146/huya.php?id=23860039
25,http://103.193.151.146/huya.php?id=25725150
26,http://103.193.151.146/huya.php?id=26355864
27,http://103.193.151.146/huya.php?id=26355866

29,http://103.193.151.146/huya.php?id=29465868
30,http://103.193.151.146/huya.php?id=29465871
31,http://103.193.151.146/huya.php?id=29580970
32,http://103.193.151.146/huya.php?id=29581262
33,http://103.193.151.146/huya.php?id=30080238
34,http://103.193.151.146/huya.php?id=30080243
35,http://103.193.151.146/huya.php?id=30080244


重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
公共,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv


A,http://lxajh.top/tv/douyu.php?id=3508304
B,http://lxajh.top/tv/douyu.php?id=4246519
C,http://lxajh.top/tv/douyu.php?id=8912325
D,http://lxajh.top/tv/douyu.php?id=9123570
E,http://lxajh.top/tv/douyu.php?id=9338839
F,http://lxajh.top/tv/douyu.php?id=9624581
G,http://lxajh.top/tv/douyu.php?id=9643264


移动专区1,#genre#
11新闻综合标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226496/index.m3u8
CGTNAW标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
CGTNDOCU标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTNESPANOL标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTNFRAN标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTNPYCC标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN标清http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
C新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226484/index.m3u8
D教育频道标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226523/index.m3u8
D新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226499/index.m3u8
M新闻综合标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8
V新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226529/index.m3u8
V新闻综合标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226502/index.m3u8
W新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
y新闻综合标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226416/index.m3u8
新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
鸡西安全生活标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226481/index.m3u8
鸡西新闻综合标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226410/index.m3u8
凌河综合标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226535/index.m3u8
齐齐哈尔经济法治,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226555/index.m3u8
齐齐哈尔经济法治标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226493/index.m3u8
齐齐哈尔新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226437/index.m3u8
齐齐哈尔新闻综合标清,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226413/index.m3u8

👉影视专区👈,#genre#
JJ斗地主,http://huanqiuzhibo.cn/manifest/douyu.php?id=488743
JJ斗地主,http://i.880824.xyz:35455/douyu/488743
JJ斗地主,http://zzy789.xyz/douyu1.php?id=488743
成龙,http://103.193.151.146/huya.php?id=11342386
盗墓,http://103.193.151.146/huya.php?id=21059552
电影_八点档,http://103.193.151.146/huya.php?id=880261
电影_变形金刚,http://103.193.151.146/huya.php?id=21059596
电影_镖行天下,http://103.193.151.146/huya.php?id=11352969
电影_不挤影院,http://103.193.151.146/huya.php?id=11352897
电影_谍战片,http://103.193.151.146/huya.php?id=21059587
电影_动作电影,http://103.193.151.146/huya.php?id=11602077
电影_犯罪片,http://103.193.151.146/huya.php?id=11352974
电影_高分动作,http://103.193.151.146/huya.php?id=11352884
电影_高能反转,http://103.193.151.146/huya.php?id=11352887
电影_搞笑恐怖,http://103.193.151.146/huya.php?id=11601960
电影_搞笑喜剧,http://103.193.151.146/huya.php?id=11342423
电影_功夫片,http://103.193.151.146/huya.php?id=11352941
电影_古装片,http://103.193.151.146/huya.php?id=11336590
电影_怪兽系列,http://103.193.151.146/huya.php?id=21059554
电影_国产悬疑,http://103.193.151.146/huya.php?id=11342395
